frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919908.225864202,489173,frame-00000.png
1,0.100000001,16919908.296943400,490081,frame-00001.png
2,0.150000006,16919908.364367899,491247,frame-00002.png
3,0.200000003,16919908.429393802,478363,frame-00003.png
4,0.250000000,16919908.501868401,498301,frame-00004.png
5,0.300000012,16919908.571424000,490540,frame-00005.png
6,0.350000024,16919908.636104800,484068,frame-00006.png
7,0.400000036,16919908.710222799,489084,frame-00007.png
8,0.450000048,16919908.782130498,489255,frame-00008.png
9,0.500000060,16919908.849591400,487381,frame-00009.png
10,0.550000072,16919908.918547899,488917,frame-00010.png
11,0.600000083,16919908.987153400,476576,frame-00011.png
12,0.650000095,16919909.056684501,496784,frame-00012.png
13,0.700000107,16919909.124391299,491040,frame-00013.png
14,0.750000119,16919909.195127402,486087,frame-00014.png
15,0.800000131,16919909.263865799,489894,frame-00015.png
16,0.850000143,16919909.329780199,490747,frame-00016.png
17,0.900000155,16919909.396619201,489004,frame-00017.png
18,0.950000167,16919909.463508900,489565,frame-00018.png
19,0.000000119,16919909.529451299,474860,frame-00019.png
20,0.050000120,16919909.597498599,494814,frame-00020.png
