frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919914.723730799,493172,frame-00000.png
1,0.100000001,16919914.790426400,486826,frame-00001.png
2,0.150000006,16919914.858570401,481243,frame-00002.png
3,0.200000003,16919914.925240301,486133,frame-00003.png
4,0.250000000,16919914.995514002,487613,frame-00004.png
5,0.300000012,16919915.062293898,485501,frame-00005.png
6,0.350000024,16919915.127400100,484848,frame-00006.png
7,0.400000036,16919915.191535302,468345,frame-00007.png
8,0.450000048,16919915.260796100,488945,frame-00008.png
9,0.500000060,16919915.332405601,480379,frame-00009.png
10,0.550000072,16919915.397588901,473560,frame-00010.png
11,0.600000083,16919915.470141102,478446,frame-00011.png
12,0.650000095,16919915.543744899,481188,frame-00012.png
13,0.700000107,16919915.622720100,479104,frame-00013.png
14,0.750000119,16919915.706584599,480750,frame-00014.png
15,0.800000131,16919915.787673101,464854,frame-00015.png
16,0.850000143,16919915.868575100,487040,frame-00016.png
17,0.900000155,16919915.948440500,479140,frame-00017.png
18,0.950000167,16919916.024512898,473086,frame-00018.png
19,1.000000119,16919916.103522498,478838,frame-00019.png
20,1.050000072,16919916.185981002,481694,frame-00020.png
21,1.100000024,16919916.257575601,480819,frame-00021.png
22,1.149999976,16919916.327448200,484567,frame-00022.png
23,1.199999928,16919916.397589400,471215,frame-00023.png
24,1.249999881,16919916.466941599,493222,frame-00024.png
25,1.299999833,16919916.538136601,486060,frame-00025.png
26,1.349999785,16919916.608833801,480308,frame-00026.png
27,1.399999738,16919916.678453200,485369,frame-00027.png
28,1.449999690,16919916.751474801,487392,frame-00028.png
29,1.499999642,16919916.825778801,484718,frame-00029.png
30,0.049999595,16919916.893407200,486869,frame-00030.png
