frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920078.968249600,493685,frame-00000.png
1,0.100000001,16920079.042843401,495811,frame-00001.png
2,0.150000006,16920079.113621101,494248,frame-00002.png
3,0.200000003,16920079.187737901,496339,frame-00003.png
4,0.250000000,16920079.252050400,479961,frame-00004.png
5,0.300000012,16920079.320182599,503632,frame-00005.png
6,0.350000024,16920079.385917801,493746,frame-00006.png
7,0.400000036,16920079.448767200,487985,frame-00007.png
8,0.450000048,16920079.513379000,493913,frame-00008.png
9,0.500000060,16920079.578673098,496024,frame-00009.png
10,0.550000072,16920079.647074699,494344,frame-00010.png
11,0.600000083,16920079.711370800,496555,frame-00011.png
12,0.000000119,16920079.775107600,480222,frame-00012.png
13,0.050000120,16920079.842198800,504485,frame-00013.png
