frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920077.824412201,494333,frame-00000.png
1,0.100000001,16920077.895199500,497406,frame-00001.png
2,0.150000006,16920077.972108498,481265,frame-00002.png
3,0.200000003,16920078.040418301,504904,frame-00003.png
4,0.250000000,16920078.110539299,494784,frame-00004.png
5,0.300000012,16920078.188351899,488330,frame-00005.png
6,0.350000024,16920078.271068901,493527,frame-00006.png
7,0.400000036,16920078.349140100,496244,frame-00007.png
8,0.450000048,16920078.423078399,494573,frame-00008.png
9,0.500000060,16920078.495437302,496877,frame-00009.png
10,0.550000072,16920078.563891500,481337,frame-00010.png
11,0.600000083,16920078.634166598,505236,frame-00011.png
12,0.650000095,16920078.706192002,494816,frame-00012.png
13,0.000000119,16920078.774311502,488946,frame-00013.png
14,0.050000120,16920078.843194701,493896,frame-00014.png
