frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920080.647313200,504623,frame-00000.png
1,0.100000001,16920080.713587001,496420,frame-00001.png
2,0.150000006,16920080.778151002,490711,frame-00002.png
3,0.200000003,16920080.843155298,495716,frame-00003.png
4,0.250000000,16920080.907500599,497855,frame-00004.png
5,0.300000012,16920080.972380701,496495,frame-00005.png
6,0.350000024,16920081.042695198,499067,frame-00006.png
7,0.400000036,16920081.107669100,483126,frame-00007.png
8,0.450000048,16920081.174576201,508499,frame-00008.png
9,0.500000060,16920081.242155202,497810,frame-00009.png
10,0.550000072,16920081.309496701,491423,frame-00010.png
11,0.600000083,16920081.375281800,496737,frame-00011.png
12,0.650000095,16920081.445474699,498390,frame-00012.png
13,0.700000107,16920081.511972100,496313,frame-00013.png
14,0.750000119,16920081.577662800,498671,frame-00014.png
15,0.800000131,16920081.641941600,481979,frame-00015.png
16,0.850000143,16920081.712504201,506492,frame-00016.png
17,0.900000155,16920081.783050001,496284,frame-00017.png
18,0.950000167,16920081.849464100,490217,frame-00018.png
19,0.000000119,16920081.916442599,495035,frame-00019.png
20,0.050000120,16920081.982793201,496654,frame-00020.png
