frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920073.431638699,495630,frame-00000.png
1,0.100000001,16920073.496565301,489015,frame-00001.png
2,0.150000006,16920073.568048801,494417,frame-00002.png
3,0.200000003,16920073.634164501,496104,frame-00003.png
4,0.250000000,16920073.706674598,494003,frame-00004.png
5,0.300000012,16920073.774931900,496621,frame-00005.png
6,0.350000024,16920073.842215098,480905,frame-00006.png
7,0.400000036,16920073.910279199,505169,frame-00007.png
8,0.450000048,16920073.981519401,494852,frame-00008.png
9,0.500000060,16920074.061330400,488741,frame-00009.png
10,0.550000072,16920074.138391200,493873,frame-00010.png
11,0.600000083,16920074.214466698,495918,frame-00011.png
12,0.650000095,16920074.291685000,493686,frame-00012.png
13,0.700000107,16920074.357257001,496303,frame-00013.png
14,0.750000119,16920074.420588098,479793,frame-00014.png
15,0.800000131,16920074.489376899,504264,frame-00015.png
16,0.850000143,16920074.562826101,494312,frame-00016.png
17,0.900000155,16920074.627629198,488595,frame-00017.png
18,0.950000167,16920074.693797302,493707,frame-00018.png
19,1.000000119,16920074.762707699,495681,frame-00019.png
20,1.050000072,16920074.828783602,493624,frame-00020.png
21,1.100000024,16920074.895567901,496052,frame-00021.png
22,1.149999976,16920074.959738400,479571,frame-00022.png
23,1.199999928,16920075.026652101,504670,frame-00023.png
24,1.249999881,16920075.095119901,494399,frame-00024.png
25,1.299999833,16920075.166630600,488405,frame-00025.png
26,1.349999785,16920075.235457100,493826,frame-00026.png
27,1.399999738,16920075.303257000,495680,frame-00027.png
28,1.449999690,16920075.369626101,493394,frame-00028.png
29,1.499999642,16920075.432802599,496161,frame-00029.png
30,1.549999595,16920075.496604901,479799,frame-00030.png
31,1.599999547,16920075.560908802,504550,frame-00031.png
32,1.649999499,16920075.629385199,493610,frame-00032.png
33,1.699999452,16920075.691817202,488271,frame-00033.png
34,1.749999404,16920075.760551501,492917,frame-00034.png
35,1.799999356,16920075.826235499,495290,frame-00035.png
36,1.849999309,16920075.892426100,493341,frame-00036.png
37,1.899999261,16920075.960348599,495838,frame-00037.png
38,1.949999213,16920076.027047802,479448,frame-00038.png
39,1.999999166,16920076.103091002,504584,frame-00039.png
40,0.049999237,16920076.173410501,493364,frame-00040.png
