frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920076.360334001,495732,frame-00000.png
1,0.100000001,16920076.428107701,489849,frame-00001.png
2,0.150000006,16920076.496201500,495089,frame-00002.png
3,0.200000003,16920076.564023402,497509,frame-00003.png
4,0.250000000,16920076.628031299,495569,frame-00004.png
5,0.300000012,16920076.694620799,497412,frame-00005.png
6,0.350000024,16920076.762001902,481277,frame-00006.png
7,0.400000036,16920076.829358701,505019,frame-00007.png
8,0.450000048,16920076.896449901,495769,frame-00008.png
9,0.500000060,16920076.961284101,489260,frame-00009.png
10,0.550000072,16920077.027470399,495128,frame-00010.png
11,0.600000083,16920077.095605399,497100,frame-00011.png
12,0.650000095,16920077.162503399,495228,frame-00012.png
13,0.700000107,16920077.229220100,497631,frame-00013.png
14,0.750000119,16920077.294596300,481908,frame-00014.png
15,0.800000131,16920077.362215701,505647,frame-00015.png
16,0.850000143,16920077.429407801,495683,frame-00016.png
17,0.900000155,16920077.496355802,489439,frame-00017.png
18,0.950000167,16920077.565791000,494618,frame-00018.png
19,0.000000119,16920077.632961702,496759,frame-00019.png
20,0.050000120,16920077.702401899,494951,frame-00020.png
