frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920082.097224999,496341,frame-00000.png
1,0.100000001,16920082.164209500,494747,frame-00001.png
2,0.150000006,16920082.233493999,496913,frame-00002.png
3,0.200000003,16920082.298320100,480869,frame-00003.png
4,0.250000000,16920082.363867998,504701,frame-00004.png
5,0.300000012,16920082.445012100,494839,frame-00005.png
6,0.350000024,16920082.518312600,488693,frame-00006.png
7,0.400000036,16920082.588236399,493815,frame-00007.png
8,0.450000048,16920082.657849800,495608,frame-00008.png
9,0.500000060,16920082.725543398,493782,frame-00009.png
10,0.550000072,16920082.789776199,496114,frame-00010.png
11,0.600000083,16920082.855316199,480235,frame-00011.png
12,0.650000095,16920082.923492901,504202,frame-00012.png
13,0.700000107,16920082.991733100,494277,frame-00013.png
14,0.750000119,16920083.061051100,487617,frame-00014.png
15,0.800000131,16920083.129595801,493207,frame-00015.png
16,0.850000143,16920083.200393599,494897,frame-00016.png
17,0.900000155,16920083.272048101,493524,frame-00017.png
18,0.950000167,16920083.340398200,495807,frame-00018.png
19,1.000000119,16920083.406731199,479376,frame-00019.png
20,1.050000072,16920083.473956201,503814,frame-00020.png
21,1.100000024,16920083.542200800,493943,frame-00021.png
22,1.149999976,16920083.607398301,487482,frame-00022.png
23,1.199999928,16920083.674958002,492891,frame-00023.png
24,1.249999881,16920083.743995599,495208,frame-00024.png
25,1.299999833,16920083.812322602,493833,frame-00025.png
26,1.349999785,16920083.884928200,496604,frame-00026.png
27,1.399999738,16920083.961004600,481604,frame-00027.png
28,1.449999690,16920084.035436299,505338,frame-00028.png
29,1.499999642,16920084.105633099,494582,frame-00029.png
30,0.049999595,16920084.182749499,488324,frame-00030.png
