frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920053.914602101,498102,frame-00000.png
1,0.100000001,16920054.005753499,491785,frame-00001.png
2,0.150000006,16920054.103862099,495848,frame-00002.png
3,0.200000003,16920054.211241700,498968,frame-00003.png
4,0.250000000,16920054.319664400,497417,frame-00004.png
5,0.300000012,16920054.432539299,499185,frame-00005.png
6,0.350000024,16920054.537026301,483202,frame-00006.png
7,0.400000036,16920054.648523301,507974,frame-00007.png
8,0.450000048,16920054.754589401,497403,frame-00008.png
9,0.500000060,16920054.866674200,491995,frame-00009.png
10,0.550000072,16920054.975613698,496198,frame-00010.png
11,0.000000060,16920055.085538499,499156,frame-00011.png
12,0.050000060,16920055.187142201,496678,frame-00012.png
