frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920052.362689301,496649,frame-00000.png
1,0.100000001,16920052.475951500,498979,frame-00001.png
2,0.150000006,16920052.602363199,497162,frame-00002.png
3,0.200000003,16920052.709961999,498910,frame-00003.png
4,0.250000000,16920052.825583700,483524,frame-00004.png
5,0.300000012,16920052.947554201,508575,frame-00005.png
6,0.350000024,16920053.055826899,497617,frame-00006.png
7,0.400000036,16920053.133022100,491679,frame-00007.png
8,0.450000048,16920053.204945099,496187,frame-00008.png
9,0.500000060,16920053.284651399,499447,frame-00009.png
10,0.550000072,16920053.366353501,497248,frame-00010.png
11,0.600000083,16920053.461851001,499199,frame-00011.png
12,0.650000095,16920053.552265499,483126,frame-00012.png
13,0.000000119,16920053.645864401,507723,frame-00013.png
14,0.050000120,16920053.743158001,497549,frame-00014.png
