frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920056.120994501,503612,frame-00000.png
1,0.100000001,16920056.197619200,505587,frame-00001.png
2,0.150000006,16920056.278356101,489225,frame-00002.png
3,0.200000003,16920056.362661801,514691,frame-00003.png
4,0.250000000,16920056.466477901,505866,frame-00004.png
5,0.300000012,16920056.541011501,498261,frame-00005.png
6,0.350000024,16920056.617585000,504596,frame-00006.png
7,0.400000036,16920056.690032199,509246,frame-00007.png
8,0.450000048,16920056.767923199,506584,frame-00008.png
9,0.500000060,16920056.844500300,508972,frame-00009.png
10,0.550000072,16920056.923643600,491813,frame-00010.png
11,0.600000083,16920057.002109800,516790,frame-00011.png
12,0.650000095,16920057.072176401,507926,frame-00012.png
13,0.700000107,16920057.143228799,499209,frame-00013.png
14,0.750000119,16920057.229914099,504040,frame-00014.png
15,0.800000131,16920057.314397998,507678,frame-00015.png
16,0.850000143,16920057.389248699,504418,frame-00016.png
17,0.900000155,16920057.474006500,506583,frame-00017.png
18,0.950000167,16920057.558137801,489972,frame-00018.png
19,0.000000119,16920057.632627402,511094,frame-00019.png
20,0.050000120,16920057.704906400,504215,frame-00020.png
