frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920045.813497700,483320,frame-00000.png
1,0.100000001,16920045.882429998,507784,frame-00001.png
2,0.150000006,16920045.953911301,497545,frame-00002.png
3,0.200000003,16920046.029163402,490916,frame-00003.png
4,0.250000000,16920046.099986002,495964,frame-00004.png
5,0.300000012,16920046.173435502,498726,frame-00005.png
6,0.350000024,16920046.245678902,496804,frame-00006.png
7,0.400000036,16920046.323102999,498877,frame-00007.png
8,0.450000048,16920046.396334000,481482,frame-00008.png
9,0.500000060,16920046.472270299,507034,frame-00009.png
10,0.550000072,16920046.569224901,496905,frame-00010.png
11,0.600000083,16920046.647792201,490866,frame-00011.png
12,0.650000095,16920046.723417498,495612,frame-00012.png
13,0.700000107,16920046.818080101,498623,frame-00013.png
14,0.750000119,16920046.909540400,496654,frame-00014.png
15,0.800000131,16920047.005282301,498675,frame-00015.png
16,0.850000143,16920047.087428201,481718,frame-00016.png
17,0.900000155,16920047.179211602,506413,frame-00017.png
18,0.950000167,16920047.263350401,496387,frame-00018.png
19,1.000000119,16920047.341950499,490370,frame-00019.png
20,1.050000072,16920047.429376699,495219,frame-00020.png
21,1.100000024,16920047.523757499,498114,frame-00021.png
22,1.149999976,16920047.622552000,496679,frame-00022.png
23,1.199999928,16920047.712383199,498692,frame-00023.png
24,1.249999881,16920047.804516200,481543,frame-00024.png
25,1.299999833,16920047.905175500,506487,frame-00025.png
26,1.349999785,16920048.017724201,496547,frame-00026.png
27,1.399999738,16920048.123810701,490044,frame-00027.png
28,1.449999690,16920048.230170898,495088,frame-00028.png
29,1.499999642,16920048.350198999,498244,frame-00029.png
30,1.549999595,16920048.457020499,496299,frame-00030.png
31,1.599999547,16920048.557140600,498366,frame-00031.png
32,1.649999499,16920048.664198302,481829,frame-00032.png
33,1.699999452,16920048.772084400,506535,frame-00033.png
34,1.749999404,16920048.863125600,495790,frame-00034.png
35,1.799999356,16920048.991014700,490175,frame-00035.png
36,1.849999309,16920049.097932901,495170,frame-00036.png
37,1.899999261,16920049.202495199,497898,frame-00037.png
38,1.949999213,16920049.326968100,496070,frame-00038.png
39,1.999999166,16920049.439928599,498118,frame-00039.png
40,0.049999237,16920049.559990998,481188,frame-00040.png
