frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920049.788052998,483449,frame-00000.png
1,0.100000001,16920049.906210899,508425,frame-00001.png
2,0.150000006,16920050.020518102,497744,frame-00002.png
3,0.200000003,16920050.123311698,492102,frame-00003.png
4,0.250000000,16920050.245024599,496702,frame-00004.png
5,0.300000012,16920050.369277500,499634,frame-00005.png
6,0.350000024,16920050.482548699,497589,frame-00006.png
7,0.400000036,16920050.587323502,499855,frame-00007.png
8,0.450000048,16920050.683368400,483634,frame-00008.png
9,0.500000060,16920050.782415599,507999,frame-00009.png
10,0.550000072,16920050.891157001,497765,frame-00010.png
11,0.600000083,16920051.007450499,492136,frame-00011.png
12,0.650000095,16920051.134726301,496889,frame-00012.png
13,0.700000107,16920051.249717101,499691,frame-00013.png
14,0.750000119,16920051.376432300,497933,frame-00014.png
15,0.800000131,16920051.490417201,498982,frame-00015.png
16,0.850000143,16920051.606499098,483383,frame-00016.png
17,0.900000155,16920051.743213300,507564,frame-00017.png
18,0.950000167,16920051.864131700,497313,frame-00018.png
19,0.000000119,16920051.983026098,491471,frame-00019.png
20,0.050000120,16920052.115651499,495722,frame-00020.png
