frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920057.837554101,497777,frame-00000.png
1,0.100000001,16920057.912394699,491930,frame-00001.png
2,0.150000006,16920057.989624500,496462,frame-00002.png
3,0.200000003,16920058.068570200,499984,frame-00003.png
4,0.250000000,16920058.149203900,497697,frame-00004.png
5,0.300000012,16920058.218950301,500410,frame-00005.png
6,0.350000024,16920058.286210001,484207,frame-00006.png
7,0.400000036,16920058.358952701,508736,frame-00007.png
8,0.450000048,16920058.427276000,497604,frame-00008.png
9,0.500000060,16920058.499668501,492320,frame-00009.png
10,0.550000072,16920058.572632499,496147,frame-00010.png
11,0.600000083,16920058.649681501,499882,frame-00011.png
12,0.650000095,16920058.720887601,497533,frame-00012.png
13,0.700000107,16920058.791930199,499161,frame-00013.png
14,0.750000119,16920058.865325000,483377,frame-00014.png
15,0.800000131,16920058.940148301,508243,frame-00015.png
16,0.850000143,16920059.012055501,497267,frame-00016.png
17,0.900000155,16920059.085356101,491784,frame-00017.png
18,0.950000167,16920059.156754799,496050,frame-00018.png
19,1.000000119,16920059.228463601,499217,frame-00019.png
20,1.050000072,16920059.296768699,497305,frame-00020.png
21,1.100000024,16920059.369019501,499124,frame-00021.png
22,1.149999976,16920059.452497900,482942,frame-00022.png
23,1.199999928,16920059.537396800,507879,frame-00023.png
24,1.249999881,16920059.618530001,497174,frame-00024.png
25,1.299999833,16920059.698612601,491897,frame-00025.png
26,1.349999785,16920059.774540301,496212,frame-00026.png
27,1.399999738,16920059.852474000,498731,frame-00027.png
28,1.449999690,16920059.939610101,496747,frame-00028.png
29,1.499999642,16920060.008048199,498300,frame-00029.png
30,0.049999595,16920060.078988299,482031,frame-00030.png
