frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920067.964383200,491052,frame-00000.png
1,0.100000001,16920068.042369202,492588,frame-00001.png
2,0.150000006,16920068.116701800,477974,frame-00002.png
3,0.200000003,16920068.199188601,500137,frame-00003.png
4,0.250000000,16920068.274737101,491773,frame-00004.png
5,0.300000012,16920068.343911499,485893,frame-00005.png
6,0.350000024,16920068.411036499,490759,frame-00006.png
7,0.400000036,16920068.477426901,493496,frame-00007.png
8,0.450000048,16920068.547140799,490929,frame-00008.png
9,0.000000060,16920068.616267599,492823,frame-00009.png
10,0.050000060,16920068.685899701,477206,frame-00010.png
