frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920065.721197300,491239,frame-00000.png
1,0.100000001,16920065.821121398,493778,frame-00001.png
2,0.150000006,16920065.909009799,491424,frame-00002.png
3,0.200000003,16920065.993361901,493529,frame-00003.png
4,0.250000000,16920066.079307798,477114,frame-00004.png
5,0.300000012,16920066.164128199,500401,frame-00005.png
6,0.350000024,16920066.250008900,492097,frame-00006.png
7,0.400000036,16920066.329036798,486138,frame-00007.png
8,0.450000048,16920066.400666598,490781,frame-00008.png
9,0.500000060,16920066.475850701,493760,frame-00009.png
10,0.550000072,16920066.550958801,491264,frame-00010.png
11,0.600000083,16920066.626452100,492869,frame-00011.png
12,0.650000095,16920066.702717301,477227,frame-00012.png
13,0.700000107,16920066.780738998,500254,frame-00013.png
14,0.750000119,16920066.859965902,491360,frame-00014.png
15,0.800000131,16920066.931147501,485961,frame-00015.png
16,0.850000143,16920067.005119000,490852,frame-00016.png
17,0.900000155,16920067.086608000,493158,frame-00017.png
18,0.950000167,16920067.159982901,490659,frame-00018.png
19,1.000000119,16920067.243681598,493492,frame-00019.png
20,1.050000072,16920067.324527599,477806,frame-00020.png
21,1.100000024,16920067.404328801,500776,frame-00021.png
22,1.149999976,16920067.481283501,492030,frame-00022.png
23,1.199999928,16920067.556346599,485817,frame-00023.png
24,1.249999881,16920067.635975398,491082,frame-00024.png
25,1.299999833,16920067.716869600,493121,frame-00025.png
26,0.049999833,16920067.812467098,491119,frame-00026.png
