frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920069.560890999,478723,frame-00000.png
1,0.100000001,16920069.628241200,501656,frame-00001.png
2,0.150000006,16920069.772788700,493252,frame-00002.png
3,0.200000003,16920069.841990001,487134,frame-00003.png
4,0.250000000,16920069.916042101,492802,frame-00004.png
5,0.300000012,16920069.983368099,495065,frame-00005.png
6,0.350000024,16920070.059657902,493315,frame-00006.png
7,0.400000036,16920070.129640501,494466,frame-00007.png
8,0.450000048,16920070.194439001,479853,frame-00008.png
9,0.500000060,16920070.261544202,503178,frame-00009.png
10,0.550000072,16920070.330924701,494430,frame-00010.png
11,0.600000083,16920070.399301000,487517,frame-00011.png
12,0.650000095,16920070.479131602,492673,frame-00012.png
13,0.700000107,16920070.573357999,495495,frame-00013.png
14,0.750000119,16920070.662924498,492702,frame-00014.png
15,0.800000131,16920070.746709399,494617,frame-00015.png
16,0.850000143,16920070.825698301,478624,frame-00016.png
17,0.900000155,16920070.898507200,501471,frame-00017.png
18,0.950000167,16920070.968176998,493026,frame-00018.png
19,0.000000119,16920071.041109599,486632,frame-00019.png
20,0.050000120,16920071.108361699,491971,frame-00020.png
