frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920060.219051700,477894,frame-00000.png
1,0.100000001,16920060.290116001,501068,frame-00001.png
2,0.150000006,16920060.357631501,491647,frame-00002.png
3,0.200000003,16920060.423886199,485812,frame-00003.png
4,0.250000000,16920060.495728001,490639,frame-00004.png
5,0.300000012,16920060.566474602,493357,frame-00005.png
6,0.350000024,16920060.635413699,491290,frame-00006.png
7,0.400000036,16920060.702664800,492230,frame-00007.png
8,0.450000048,16920060.767276999,476185,frame-00008.png
9,0.500000060,16920060.840974301,499909,frame-00009.png
10,0.550000072,16920060.924544901,491341,frame-00010.png
11,0.600000083,16920060.997997101,485108,frame-00011.png
12,0.650000095,16920061.072463602,490446,frame-00012.png
13,0.700000107,16920061.147904798,492918,frame-00013.png
14,0.750000119,16920061.222840499,490793,frame-00014.png
15,0.800000131,16920061.292418100,492218,frame-00015.png
16,0.850000143,16920061.363924701,476089,frame-00016.png
17,0.900000155,16920061.443185899,500290,frame-00017.png
18,0.950000167,16920061.521157600,490711,frame-00018.png
19,1.000000119,16920061.601637699,484638,frame-00019.png
20,1.050000072,16920061.687561002,489779,frame-00020.png
21,1.100000024,16920061.775423899,492478,frame-00021.png
22,1.149999976,16920061.868940700,490400,frame-00022.png
23,1.199999928,16920061.955105301,492092,frame-00023.png
24,1.249999881,16920062.063590501,476475,frame-00024.png
25,1.299999833,16920062.156068701,499591,frame-00025.png
26,1.349999785,16920062.242274001,490863,frame-00026.png
27,1.399999738,16920062.337229799,484980,frame-00027.png
28,1.449999690,16920062.434156399,489499,frame-00028.png
29,1.499999642,16920062.520011101,492524,frame-00029.png
30,1.549999595,16920062.598010901,490327,frame-00030.png
31,1.599999547,16920062.685328700,492173,frame-00031.png
32,1.649999499,16920062.795906398,476399,frame-00032.png
33,1.699999452,16920062.904328801,499478,frame-00033.png
34,1.749999404,16920062.996808600,490449,frame-00034.png
35,1.799999356,16920063.084356800,484844,frame-00035.png
36,1.849999309,16920063.178970601,489480,frame-00036.png
37,1.899999261,16920063.263689399,492627,frame-00037.png
38,1.949999213,16920063.354006302,490278,frame-00038.png
39,1.999999166,16920063.464355800,492138,frame-00039.png
40,0.049999237,16920063.571274001,476306,frame-00040.png
