frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920063.769565601,478094,frame-00000.png
1,0.100000001,16920063.848515999,501457,frame-00001.png
2,0.150000006,16920063.925541699,493298,frame-00002.png
3,0.200000003,16920064.005501900,486677,frame-00003.png
4,0.250000000,16920064.080379199,491708,frame-00004.png
5,0.300000012,16920064.157385301,493936,frame-00005.png
6,0.350000024,16920064.240031600,491854,frame-00006.png
7,0.400000036,16920064.316419698,494176,frame-00007.png
8,0.450000048,16920064.386708401,477888,frame-00008.png
9,0.500000060,16920064.459947400,500650,frame-00009.png
10,0.550000072,16920064.539143801,492514,frame-00010.png
11,0.600000083,16920064.614163600,486489,frame-00011.png
12,0.650000095,16920064.686774898,491700,frame-00012.png
13,0.700000107,16920064.770267598,494315,frame-00013.png
14,0.750000119,16920064.874347001,491581,frame-00014.png
15,0.800000131,16920064.979159702,493667,frame-00015.png
16,0.850000143,16920065.092524700,478188,frame-00016.png
17,0.900000155,16920065.204560000,501100,frame-00017.png
18,0.950000167,16920065.309718698,492271,frame-00018.png
19,0.000000119,16920065.419284400,485624,frame-00019.png
20,0.050000120,16920065.523399200,491298,frame-00020.png
