frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920071.220648099,490439,frame-00000.png
1,0.100000001,16920071.287051000,492945,frame-00001.png
2,0.150000006,16920071.353986502,490403,frame-00002.png
3,0.200000003,16920071.426092099,493088,frame-00003.png
4,0.250000000,16920071.493566301,476569,frame-00004.png
5,0.300000012,16920071.565522701,500318,frame-00005.png
6,0.350000024,16920071.631625202,491830,frame-00006.png
7,0.400000036,16920071.702341300,485213,frame-00007.png
8,0.450000048,16920071.772196800,490674,frame-00008.png
9,0.500000060,16920071.847343098,493196,frame-00009.png
10,0.550000072,16920071.931769699,490463,frame-00010.png
11,0.600000083,16920072.008543700,492892,frame-00011.png
12,0.650000095,16920072.082951400,476734,frame-00012.png
13,0.700000107,16920072.162409101,500195,frame-00013.png
14,0.750000119,16920072.233086400,491138,frame-00014.png
15,0.800000131,16920072.299321700,484347,frame-00015.png
16,0.850000143,16920072.364443101,489667,frame-00016.png
17,0.900000155,16920072.439264100,492486,frame-00017.png
18,0.950000167,16920072.505220599,490039,frame-00018.png
19,1.000000119,16920072.570439201,492581,frame-00019.png
20,1.050000072,16920072.639006998,476150,frame-00020.png
21,1.100000024,16920072.703515299,500063,frame-00021.png
22,1.149999976,16920072.768636599,491031,frame-00022.png
23,1.199999928,16920072.835192699,484267,frame-00023.png
24,1.249999881,16920072.900296301,489450,frame-00024.png
25,1.299999833,16920072.965759899,492431,frame-00025.png
26,1.349999785,16920073.031841699,490216,frame-00026.png
27,1.399999738,16920073.101403799,492763,frame-00027.png
28,1.449999690,16920073.165775601,476603,frame-00028.png
29,1.499999642,16920073.237222299,499966,frame-00029.png
30,0.049999595,16920073.302926600,490879,frame-00030.png
