frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920039.951506700,491686,frame-00000.png
1,0.100000001,16920040.026489198,497346,frame-00001.png
2,0.150000006,16920040.101357799,499119,frame-00002.png
3,0.200000003,16920040.166595899,496420,frame-00003.png
4,0.250000000,16920040.236801598,499838,frame-00004.png
5,0.300000012,16920040.309733499,484317,frame-00005.png
6,0.350000024,16920040.378437601,507217,frame-00006.png
7,0.400000036,16920040.449786700,496573,frame-00007.png
8,0.450000048,16920040.517639901,491588,frame-00008.png
9,0.500000060,16920040.595879201,495747,frame-00009.png
10,0.000000060,16920040.679217499,499014,frame-00010.png
11,0.050000060,16920040.755517200,496387,frame-00011.png
