frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920038.775151599,497444,frame-00000.png
1,0.100000001,16920038.845107201,501694,frame-00001.png
2,0.150000006,16920038.916844200,497765,frame-00002.png
3,0.200000003,16920038.994872201,501752,frame-00003.png
4,0.250000000,16920039.061857499,485230,frame-00004.png
5,0.300000012,16920039.132804699,507996,frame-00005.png
6,0.350000024,16920039.202987298,497907,frame-00006.png
7,0.400000036,16920039.269862399,492180,frame-00007.png
8,0.450000048,16920039.335922100,496924,frame-00008.png
9,0.500000060,16920039.407995500,500177,frame-00009.png
10,0.550000072,16920039.473911200,496693,frame-00010.png
11,0.600000083,16920039.543060701,500829,frame-00011.png
12,0.650000095,16920039.616112798,485433,frame-00012.png
13,0.700000107,16920039.686257102,508894,frame-00013.png
14,0.000000119,16920039.758603498,499334,frame-00014.png
15,0.050000120,16920039.827660199,492238,frame-00015.png
