frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920041.559855700,498920,frame-00000.png
1,0.100000001,16920041.630978901,502448,frame-00001.png
2,0.150000006,16920041.700118002,487564,frame-00002.png
3,0.200000003,16920041.780052599,510341,frame-00003.png
4,0.250000000,16920041.852805000,501556,frame-00004.png
5,0.300000012,16920041.934590202,494861,frame-00005.png
6,0.350000024,16920042.002451699,500635,frame-00006.png
7,0.400000036,16920042.073219799,503602,frame-00007.png
8,0.450000048,16920042.143242501,500621,frame-00008.png
9,0.500000060,16920042.218877301,502396,frame-00009.png
10,0.550000072,16920042.287315201,487201,frame-00010.png
11,0.600000083,16920042.359980699,510765,frame-00011.png
12,0.650000095,16920042.429009799,501991,frame-00012.png
13,0.700000107,16920042.500051301,494118,frame-00013.png
14,0.750000119,16920042.568603002,499523,frame-00014.png
15,0.800000131,16920042.652708702,502525,frame-00015.png
16,0.850000143,16920042.737936899,498129,frame-00016.png
17,0.900000155,16920042.826965801,501399,frame-00017.png
18,0.950000167,16920042.905669201,485382,frame-00018.png
19,0.000000119,16920042.990334000,507638,frame-00019.png
20,0.050000120,16920043.069990899,501389,frame-00020.png
