frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920034.046762802,486375,frame-00000.png
1,0.100000001,16920034.138725400,509777,frame-00001.png
2,0.150000006,16920034.209607001,499588,frame-00002.png
3,0.200000003,16920034.279371999,492879,frame-00003.png
4,0.250000000,16920034.346259300,497308,frame-00004.png
5,0.300000012,16920034.415179402,503121,frame-00005.png
6,0.350000024,16920034.483650502,498719,frame-00006.png
7,0.400000036,16920034.551014401,502066,frame-00007.png
8,0.450000048,16920034.618026301,485987,frame-00008.png
9,0.500000060,16920034.692422301,510157,frame-00009.png
10,0.550000072,16920034.765029300,499914,frame-00010.png
11,0.600000083,16920034.835854400,493339,frame-00011.png
12,0.650000095,16920034.906185001,497863,frame-00012.png
13,0.700000107,16920034.975402001,501693,frame-00013.png
14,0.750000119,16920035.044825502,498146,frame-00014.png
15,0.800000131,16920035.114177801,501884,frame-00015.png
16,0.850000143,16920035.187117301,485434,frame-00016.png
17,0.900000155,16920035.259879299,509349,frame-00017.png
18,0.950000167,16920035.333585002,499101,frame-00018.png
19,1.000000119,16920035.406994302,493138,frame-00019.png
20,1.050000072,16920035.490259402,497468,frame-00020.png
21,1.100000024,16920035.570243899,501915,frame-00021.png
22,1.149999976,16920035.656225201,498247,frame-00022.png
23,1.199999928,16920035.740332399,501926,frame-00023.png
24,1.249999881,16920035.818177000,485435,frame-00024.png
25,1.299999833,16920035.895641200,509590,frame-00025.png
26,1.349999785,16920035.970923699,499085,frame-00026.png
27,1.399999738,16920036.057129599,492604,frame-00027.png
28,1.449999690,16920036.137258299,497288,frame-00028.png
29,1.499999642,16920036.218196101,501826,frame-00029.png
30,1.549999595,16920036.299242400,497441,frame-00030.png
31,1.599999547,16920036.384023800,501878,frame-00031.png
32,1.649999499,16920036.461194500,485064,frame-00032.png
33,1.699999452,16920036.536809400,509377,frame-00033.png
34,1.749999404,16920036.608205698,498391,frame-00034.png
35,1.799999356,16920036.677692998,492450,frame-00035.png
36,1.849999309,16920036.747497499,496642,frame-00036.png
37,1.899999261,16920036.825456500,501014,frame-00037.png
38,1.949999213,16920036.897556599,496916,frame-00038.png
39,1.999999166,16920036.975069400,501167,frame-00039.png
40,0.049999237,16920037.050617401,484845,frame-00040.png
