frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920037.171703901,486789,frame-00000.png
1,0.100000001,16920037.248806201,510181,frame-00001.png
2,0.150000006,16920037.319405999,500631,frame-00002.png
3,0.200000003,16920037.389454201,493888,frame-00003.png
4,0.250000000,16920037.458604399,498543,frame-00004.png
5,0.300000012,16920037.531581100,501909,frame-00005.png
6,0.350000024,16920037.602694299,499027,frame-00006.png
7,0.400000036,16920037.675482102,502072,frame-00007.png
8,0.450000048,16920037.743059698,486134,frame-00008.png
9,0.500000060,16920037.812900499,508984,frame-00009.png
10,0.550000072,16920037.880843502,500055,frame-00010.png
11,0.600000083,16920037.946230698,493369,frame-00011.png
12,0.650000095,16920038.013627298,498569,frame-00012.png
13,0.700000107,16920038.078299802,502036,frame-00013.png
14,0.750000119,16920038.145294201,498102,frame-00014.png
15,0.800000131,16920038.215909999,501169,frame-00015.png
16,0.850000143,16920038.282024100,485498,frame-00016.png
17,0.900000155,16920038.352720901,508746,frame-00017.png
18,0.950000167,16920038.438103501,498545,frame-00018.png
19,0.000000119,16920038.516304299,492595,frame-00019.png
20,0.050000120,16920038.603977401,498168,frame-00020.png
