frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920043.209080901,499478,frame-00000.png
1,0.100000001,16920043.281091500,493007,frame-00001.png
2,0.150000006,16920043.356014699,496977,frame-00002.png
3,0.200000003,16920043.429487102,500502,frame-00003.png
4,0.250000000,16920043.506506201,496482,frame-00004.png
5,0.300000012,16920043.584997900,499426,frame-00005.png
6,0.350000024,16920043.664527200,483707,frame-00006.png
7,0.400000036,16920043.745604500,507310,frame-00007.png
8,0.450000048,16920043.828645501,496989,frame-00008.png
9,0.500000060,16920043.909248099,490626,frame-00009.png
10,0.550000072,16920043.992235702,495093,frame-00010.png
11,0.600000083,16920044.116324302,498314,frame-00011.png
12,0.650000095,16920044.211656399,494966,frame-00012.png
13,0.700000107,16920044.309582099,498320,frame-00013.png
14,0.750000119,16920044.406073902,483007,frame-00014.png
15,0.800000131,16920044.490161698,506886,frame-00015.png
16,0.850000143,16920044.570515402,496155,frame-00016.png
17,0.900000155,16920044.655703701,490011,frame-00017.png
18,0.950000167,16920044.740533199,494887,frame-00018.png
19,1.000000119,16920044.823081002,498063,frame-00019.png
20,1.050000072,16920044.900852699,494781,frame-00020.png
21,1.100000024,16920044.971334901,497840,frame-00021.png
22,1.149999976,16920045.058930799,482583,frame-00022.png
23,1.199999928,16920045.138558000,506902,frame-00023.png
24,1.249999881,16920045.218965199,496789,frame-00024.png
25,1.299999833,16920045.302570000,491807,frame-00025.png
26,1.349999785,16920045.381031699,496374,frame-00026.png
27,1.399999738,16920045.467479099,501254,frame-00027.png
28,1.449999690,16920045.551525399,497770,frame-00028.png
29,1.499999642,16920045.620801698,501469,frame-00029.png
30,0.049999595,16920045.690174699,485469,frame-00030.png
