frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919854.786978401,491604,frame-00000.png
1,0.100000001,16919854.854216699,489115,frame-00001.png
2,0.150000006,16919854.922015999,485801,frame-00002.png
3,0.200000003,16919854.991173901,484521,frame-00003.png
4,0.250000000,16919855.055907998,470018,frame-00004.png
5,0.300000012,16919855.123157099,491253,frame-00005.png
6,0.350000024,16919855.189207502,484228,frame-00006.png
7,0.400000036,16919855.253796902,478995,frame-00007.png
8,0.450000048,16919855.321977701,488280,frame-00008.png
9,0.500000060,16919855.389197201,491749,frame-00009.png
10,0.550000072,16919855.456754100,494029,frame-00010.png
11,0.000000060,16919855.526030999,496172,frame-00011.png
12,0.050000060,16919855.592600301,481122,frame-00012.png
