frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919853.749089099,496466,frame-00000.png
1,0.100000001,16919853.819083400,484080,frame-00001.png
2,0.150000006,16919853.889915202,503537,frame-00002.png
3,0.200000003,16919853.957350399,491836,frame-00003.png
4,0.250000000,16919854.029426701,482984,frame-00004.png
5,0.300000012,16919854.096447799,491424,frame-00005.png
6,0.350000024,16919854.163898800,493936,frame-00006.png
7,0.400000036,16919854.237032600,493266,frame-00007.png
8,0.450000048,16919854.304292601,495704,frame-00008.png
9,0.500000060,16919854.371488199,481326,frame-00009.png
10,0.550000072,16919854.441646900,503405,frame-00010.png
11,0.600000083,16919854.510457002,494551,frame-00011.png
12,0.000000119,16919854.578517400,489384,frame-00012.png
13,0.050000120,16919854.646446299,494761,frame-00013.png
