frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919856.407502301,483541,frame-00000.png
1,0.100000001,16919856.474058699,504847,frame-00001.png
2,0.150000006,16919856.540450700,496634,frame-00002.png
3,0.200000003,16919856.609015800,490920,frame-00003.png
4,0.250000000,16919856.675405599,497213,frame-00004.png
5,0.300000012,16919856.743008599,498158,frame-00005.png
6,0.350000024,16919856.811000701,496731,frame-00006.png
7,0.400000036,16919856.877481502,498220,frame-00007.png
8,0.450000048,16919856.943565302,484284,frame-00008.png
9,0.500000060,16919857.011219501,502707,frame-00009.png
10,0.550000072,16919857.078392100,493637,frame-00010.png
11,0.600000083,16919857.144623298,486807,frame-00011.png
12,0.650000095,16919857.211022001,491149,frame-00012.png
13,0.700000107,16919857.278454199,490980,frame-00013.png
14,0.750000119,16919857.346649401,488367,frame-00014.png
15,0.800000131,16919857.413744502,489229,frame-00015.png
16,0.850000143,16919857.478684999,474491,frame-00016.png
17,0.900000155,16919857.546563599,495697,frame-00017.png
18,0.950000167,16919857.612929799,487794,frame-00018.png
19,0.000000119,16919857.687705200,488878,frame-00019.png
20,0.050000120,16919857.766514599,495695,frame-00020.png
