frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919849.002137300,474991,frame-00000.png
1,0.100000001,16919849.069506802,480669,frame-00001.png
2,0.150000006,16919849.132230200,484075,frame-00002.png
3,0.200000003,16919849.196160100,481427,frame-00003.png
4,0.250000000,16919849.259896100,483576,frame-00004.png
5,0.300000012,16919849.321389500,467236,frame-00005.png
6,0.350000024,16919849.389957700,491039,frame-00006.png
7,0.400000036,16919849.454540700,482555,frame-00007.png
8,0.450000048,16919849.520569000,475174,frame-00008.png
9,0.500000060,16919849.582214799,481288,frame-00009.png
10,0.550000072,16919849.645261001,485092,frame-00010.png
11,0.600000083,16919849.711829100,482644,frame-00011.png
12,0.650000095,16919849.782320101,492874,frame-00012.png
13,0.700000107,16919849.844778299,480689,frame-00013.png
14,0.750000119,16919849.910266601,504406,frame-00014.png
15,0.800000131,16919849.978232302,494598,frame-00015.png
16,0.850000143,16919850.053294100,489140,frame-00016.png
17,0.900000155,16919850.124995898,493979,frame-00017.png
18,0.950000167,16919850.195738200,497058,frame-00018.png
19,1.000000119,16919850.267804600,495085,frame-00019.png
20,1.050000072,16919850.343557201,497188,frame-00020.png
21,1.100000024,16919850.414502900,481548,frame-00021.png
22,1.149999976,16919850.486956902,505118,frame-00022.png
23,1.199999928,16919850.556421001,495532,frame-00023.png
24,1.249999881,16919850.633667700,489114,frame-00024.png
25,1.299999833,16919850.710433699,494080,frame-00025.png
26,1.349999785,16919850.792355198,498117,frame-00026.png
27,1.399999738,16919850.883493502,494884,frame-00027.png
28,1.449999690,16919850.968825102,496943,frame-00028.png
29,1.499999642,16919851.044194799,481332,frame-00029.png
30,1.549999595,16919851.151314199,504785,frame-00030.png
31,1.599999547,16919851.267749000,495349,frame-00031.png
32,1.649999499,16919851.346151099,488951,frame-00032.png
33,1.699999452,16919851.419155799,494634,frame-00033.png
34,1.749999404,16919851.489691202,497434,frame-00034.png
35,1.799999356,16919851.558739100,495027,frame-00035.png
36,1.849999309,16919851.630267601,496806,frame-00036.png
37,1.899999261,16919851.699739799,481355,frame-00037.png
38,1.949999213,16919851.771373201,504878,frame-00038.png
39,1.999999166,16919851.840134699,494951,frame-00039.png
40,0.049999237,16919851.916036900,488285,frame-00040.png
