frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919852.065454900,490161,frame-00000.png
1,0.100000001,16919852.134854700,497917,frame-00001.png
2,0.150000006,16919852.206925601,498670,frame-00002.png
3,0.200000003,16919852.288421899,498362,frame-00003.png
4,0.250000000,16919852.362707201,498933,frame-00004.png
5,0.300000012,16919852.435644101,483482,frame-00005.png
6,0.350000024,16919852.506525800,506199,frame-00006.png
7,0.400000036,16919852.579529200,497125,frame-00007.png
8,0.450000048,16919852.649233401,490864,frame-00008.png
9,0.500000060,16919852.723619599,495073,frame-00009.png
10,0.550000072,16919852.795924500,497763,frame-00010.png
11,0.600000083,16919852.869102102,497033,frame-00011.png
12,0.650000095,16919852.940248702,500767,frame-00012.png
13,0.700000107,16919853.009593599,487011,frame-00013.png
14,0.750000119,16919853.079526398,508061,frame-00014.png
15,0.800000131,16919853.148943398,499577,frame-00015.png
16,0.850000143,16919853.217172801,492516,frame-00016.png
17,0.900000155,16919853.296191499,496977,frame-00017.png
18,0.950000167,16919853.374160599,496963,frame-00018.png
19,0.000000119,16919853.452280700,495807,frame-00019.png
20,0.050000120,16919853.536665998,497419,frame-00020.png
