frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919857.963863902,493860,frame-00000.png
1,0.100000001,16919858.038901102,496985,frame-00001.png
2,0.150000006,16919858.108506002,494279,frame-00002.png
3,0.200000003,16919858.174577799,495222,frame-00003.png
4,0.250000000,16919858.243556600,479610,frame-00004.png
5,0.300000012,16919858.311579801,502201,frame-00005.png
6,0.350000024,16919858.378171001,493093,frame-00006.png
7,0.400000036,16919858.448176999,487496,frame-00007.png
8,0.450000048,16919858.514216300,491976,frame-00008.png
9,0.500000060,16919858.583418600,494879,frame-00009.png
10,0.550000072,16919858.656320602,492695,frame-00010.png
11,0.600000083,16919858.728402700,494077,frame-00011.png
12,0.650000095,16919858.800244201,479138,frame-00012.png
13,0.700000107,16919858.867120001,502194,frame-00013.png
14,0.750000119,16919858.933947999,492863,frame-00014.png
15,0.800000131,16919859.001689900,486288,frame-00015.png
16,0.850000143,16919859.068541098,491841,frame-00016.png
17,0.900000155,16919859.135199100,494695,frame-00017.png
18,0.950000167,16919859.202199399,491989,frame-00018.png
19,1.000000119,16919859.270454500,493812,frame-00019.png
20,1.050000072,16919859.338616502,478737,frame-00020.png
21,1.100000024,16919859.407085001,502105,frame-00021.png
22,1.149999976,16919859.476631802,492912,frame-00022.png
23,1.199999928,16919859.543517798,486818,frame-00023.png
24,1.249999881,16919859.609945800,491856,frame-00024.png
25,1.299999833,16919859.676223099,494678,frame-00025.png
26,1.349999785,16919859.742855702,493098,frame-00026.png
27,1.399999738,16919859.811350700,495241,frame-00027.png
28,1.449999690,16919859.891229399,480833,frame-00028.png
29,1.499999642,16919859.970241498,503989,frame-00029.png
30,0.049999595,16919860.046239000,494578,frame-00030.png
