frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919877.780993700,493835,frame-00000.png
1,0.100000001,16919877.848576199,491553,frame-00001.png
2,0.150000006,16919877.917109299,489676,frame-00002.png
3,0.200000003,16919877.986751799,474540,frame-00003.png
4,0.250000000,16919878.066410799,494047,frame-00004.png
5,0.300000012,16919878.135186698,488240,frame-00005.png
6,0.350000024,16919878.203838199,482786,frame-00006.png
7,0.400000036,16919878.282552700,487412,frame-00007.png
8,0.450000048,16919878.359939199,489819,frame-00008.png
9,0.500000060,16919878.436772902,489387,frame-00009.png
10,0.550000072,16919878.501872700,491216,frame-00010.png
11,0.600000083,16919878.568822902,478896,frame-00011.png
12,0.650000095,16919878.635136899,499513,frame-00012.png
13,0.700000107,16919878.709360000,493962,frame-00013.png
14,0.000000119,16919878.775761001,489351,frame-00014.png
15,0.050000120,16919878.843298800,492861,frame-00015.png
