frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919876.626169801,494625,frame-00000.png
1,0.100000001,16919876.700739499,479241,frame-00001.png
2,0.150000006,16919876.777858101,493209,frame-00002.png
3,0.200000003,16919876.853326600,487786,frame-00003.png
4,0.250000000,16919876.925171100,483006,frame-00004.png
5,0.300000012,16919876.998487100,489075,frame-00005.png
6,0.350000024,16919877.067882601,492900,frame-00006.png
7,0.400000036,16919877.139275301,493123,frame-00007.png
8,0.450000048,16919877.210445099,495475,frame-00008.png
9,0.500000060,16919877.285742499,483220,frame-00009.png
10,0.550000072,16919877.364014301,501451,frame-00010.png
11,0.600000083,16919877.433395699,494184,frame-00011.png
12,0.650000095,16919877.508508999,488511,frame-00012.png
13,0.000000119,16919877.580866002,491976,frame-00013.png
14,0.050000120,16919877.648831900,495450,frame-00014.png
