frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919879.683815598,493749,frame-00000.png
1,0.100000001,16919879.751167402,496503,frame-00001.png
2,0.150000006,16919879.818961699,495677,frame-00002.png
3,0.200000003,16919879.884725399,497928,frame-00003.png
4,0.250000000,16919879.953734800,485056,frame-00004.png
5,0.300000012,16919880.023391701,503902,frame-00005.png
6,0.350000024,16919880.091401398,496427,frame-00006.png
7,0.400000036,16919880.161415100,491007,frame-00007.png
8,0.450000048,16919880.230108801,495933,frame-00008.png
9,0.500000060,16919880.301287800,496970,frame-00009.png
10,0.550000072,16919880.378399000,494119,frame-00010.png
11,0.600000083,16919880.449700501,493962,frame-00011.png
12,0.650000095,16919880.520608600,479826,frame-00012.png
13,0.700000107,16919880.590770699,497276,frame-00013.png
14,0.750000119,16919880.664144799,490224,frame-00014.png
15,0.800000131,16919880.736078098,483195,frame-00015.png
16,0.850000143,16919880.811193399,486449,frame-00016.png
17,0.900000155,16919880.901254799,489715,frame-00017.png
18,0.950000167,16919880.992821500,488227,frame-00018.png
19,0.000000119,16919881.071721900,494215,frame-00019.png
20,0.050000120,16919881.153810501,483302,frame-00020.png
