frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919871.795166701,487236,frame-00000.png
1,0.100000001,16919871.864453699,491537,frame-00001.png
2,0.150000006,16919871.933908299,493375,frame-00002.png
3,0.200000003,16919872.002697200,492015,frame-00003.png
4,0.250000000,16919872.074276701,492687,frame-00004.png
5,0.300000012,16919872.143596899,479838,frame-00005.png
6,0.350000024,16919872.213046201,501099,frame-00006.png
7,0.400000036,16919872.280933801,492382,frame-00007.png
8,0.450000048,16919872.349266902,487002,frame-00008.png
9,0.500000060,16919872.418113500,491387,frame-00009.png
10,0.550000072,16919872.491686400,493916,frame-00010.png
11,0.600000083,16919872.560620900,492208,frame-00011.png
12,0.650000095,16919872.628153998,492992,frame-00012.png
13,0.700000107,16919872.695955500,479954,frame-00013.png
14,0.750000119,16919872.765778799,500569,frame-00014.png
15,0.800000131,16919872.834226102,492635,frame-00015.png
16,0.850000143,16919872.909180101,486605,frame-00016.png
17,0.900000155,16919872.978399500,491322,frame-00017.png
18,0.950000167,16919873.046393901,493908,frame-00018.png
19,1.000000119,16919873.121482201,492127,frame-00019.png
20,1.050000072,16919873.192940202,493183,frame-00020.png
21,1.100000024,16919873.258677900,479784,frame-00021.png
22,1.149999976,16919873.327582698,500326,frame-00022.png
23,1.199999928,16919873.395739499,492752,frame-00023.png
24,1.249999881,16919873.463650100,486699,frame-00024.png
25,1.299999833,16919873.536850501,491501,frame-00025.png
26,1.349999785,16919873.611593600,493857,frame-00026.png
27,1.399999738,16919873.693099599,492611,frame-00027.png
28,1.449999690,16919873.776963200,493007,frame-00028.png
29,1.499999642,16919873.853074498,479983,frame-00029.png
30,1.549999595,16919873.932972599,500207,frame-00030.png
31,1.599999547,16919874.009895101,492376,frame-00031.png
32,1.649999499,16919874.088138599,486651,frame-00032.png
33,1.699999452,16919874.171068698,491485,frame-00033.png
34,1.749999404,16919874.252702702,493782,frame-00034.png
35,1.799999356,16919874.330484599,492097,frame-00035.png
36,1.849999309,16919874.409750901,493214,frame-00036.png
37,1.899999261,16919874.489658900,479872,frame-00037.png
38,1.949999213,16919874.571887799,500517,frame-00038.png
39,1.999999166,16919874.651302900,492754,frame-00039.png
40,0.049999237,16919874.736354101,486594,frame-00040.png
