frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919874.956021201,489986,frame-00000.png
1,0.100000001,16919875.025007799,496618,frame-00001.png
2,0.150000006,16919875.096708801,498291,frame-00002.png
3,0.200000003,16919875.169811599,497824,frame-00003.png
4,0.250000000,16919875.244110201,499099,frame-00004.png
5,0.300000012,16919875.319059100,484570,frame-00005.png
6,0.350000024,16919875.390711199,504694,frame-00006.png
7,0.400000036,16919875.463663898,497115,frame-00007.png
8,0.450000048,16919875.535502199,490275,frame-00008.png
9,0.500000060,16919875.621741898,494109,frame-00009.png
10,0.550000072,16919875.709450301,497082,frame-00010.png
11,0.600000083,16919875.798826601,497194,frame-00011.png
12,0.650000095,16919875.887714099,498496,frame-00012.png
13,0.700000107,16919875.961152799,486424,frame-00013.png
14,0.750000119,16919876.037619900,505794,frame-00014.png
15,0.800000131,16919876.128218900,499633,frame-00015.png
16,0.850000143,16919876.208452899,491386,frame-00016.png
17,0.900000155,16919876.281929798,496003,frame-00017.png
18,0.950000167,16919876.350131799,496798,frame-00018.png
19,0.000000119,16919876.422138799,495139,frame-00019.png
20,0.050000120,16919876.489254199,496053,frame-00020.png
