frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919866.092071701,491872,frame-00000.png
1,0.100000001,16919866.167576101,492928,frame-00001.png
2,0.150000006,16919866.239139602,489401,frame-00002.png
3,0.200000003,16919866.309269600,489563,frame-00003.png
4,0.250000000,16919866.379142001,476519,frame-00004.png
5,0.300000012,16919866.447858900,494584,frame-00005.png
6,0.350000024,16919866.516601399,488279,frame-00006.png
7,0.400000036,16919866.582848001,482661,frame-00007.png
8,0.450000048,16919866.649475399,486833,frame-00008.png
9,0.500000060,16919866.717834901,489219,frame-00009.png
10,0.550000072,16919866.784763798,490657,frame-00010.png
11,0.600000083,16919866.854224600,493560,frame-00011.png
12,0.000000119,16919866.922161400,481887,frame-00012.png
13,0.050000120,16919866.991643600,501256,frame-00013.png
