frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919864.862393301,494316,frame-00000.png
1,0.100000001,16919864.929642599,492007,frame-00001.png
2,0.150000006,16919864.997008700,474817,frame-00002.png
3,0.200000003,16919865.066328101,494199,frame-00003.png
4,0.250000000,16919865.136354201,489970,frame-00004.png
5,0.300000012,16919865.208560102,485444,frame-00005.png
6,0.350000024,16919865.278167099,490362,frame-00006.png
7,0.400000036,16919865.352744401,493822,frame-00007.png
8,0.450000048,16919865.426439300,492987,frame-00008.png
9,0.500000060,16919865.501386300,494799,frame-00009.png
10,0.550000072,16919865.578086000,481214,frame-00010.png
11,0.600000083,16919865.655244000,499812,frame-00011.png
12,0.650000095,16919865.735001698,492140,frame-00012.png
13,0.000000119,16919865.809145000,487263,frame-00013.png
14,0.050000120,16919865.889167100,493177,frame-00014.png
