frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919867.839370299,501684,frame-00000.png
1,0.100000001,16919867.905728601,494772,frame-00001.png
2,0.150000006,16919867.972402100,488916,frame-00002.png
3,0.200000003,16919868.040714599,491820,frame-00003.png
4,0.250000000,16919868.108375002,493668,frame-00004.png
5,0.300000012,16919868.174432699,492562,frame-00005.png
6,0.350000024,16919868.242081899,493944,frame-00006.png
7,0.400000036,16919868.307795200,482240,frame-00007.png
8,0.450000048,16919868.375018299,500126,frame-00008.png
9,0.500000060,16919868.444615901,492769,frame-00009.png
10,0.550000072,16919868.512914300,487095,frame-00010.png
11,0.600000083,16919868.580435600,489804,frame-00011.png
12,0.650000095,16919868.649381001,489132,frame-00012.png
13,0.700000107,16919868.716619302,487034,frame-00013.png
14,0.750000119,16919868.784152601,487344,frame-00014.png
15,0.800000131,16919868.851491701,473000,frame-00015.png
16,0.850000143,16919868.920645598,492900,frame-00016.png
17,0.900000155,16919868.987817701,485425,frame-00017.png
18,0.950000167,16919869.063427702,479862,frame-00018.png
19,0.000000119,16919869.139274701,493434,frame-00019.png
20,0.050000120,16919869.212909099,495912,frame-00020.png
