frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919860.244359400,494808,frame-00000.png
1,0.100000001,16919860.317758501,488775,frame-00001.png
2,0.150000006,16919860.398508001,493117,frame-00002.png
3,0.200000003,16919860.465270199,495170,frame-00003.png
4,0.250000000,16919860.531635098,492794,frame-00004.png
5,0.300000012,16919860.600101098,494382,frame-00005.png
6,0.350000024,16919860.667541601,481438,frame-00006.png
7,0.400000036,16919860.737918701,501916,frame-00007.png
8,0.450000048,16919860.805473600,493582,frame-00008.png
9,0.500000060,16919860.872806702,488639,frame-00009.png
10,0.550000072,16919860.945000499,491621,frame-00010.png
11,0.600000083,16919861.012633901,494843,frame-00011.png
12,0.650000095,16919861.080513399,492700,frame-00012.png
13,0.700000107,16919861.152032901,493630,frame-00013.png
14,0.750000119,16919861.219787899,480686,frame-00014.png
15,0.800000131,16919861.293799002,501050,frame-00015.png
16,0.850000143,16919861.361353900,492694,frame-00016.png
17,0.900000155,16919861.428884100,487954,frame-00017.png
18,0.950000167,16919861.502468701,491456,frame-00018.png
19,1.000000119,16919861.569856800,494208,frame-00019.png
20,1.050000072,16919861.637106899,492654,frame-00020.png
21,1.100000024,16919861.703953899,493663,frame-00021.png
22,1.149999976,16919861.770041600,480358,frame-00022.png
23,1.199999928,16919861.840110298,500981,frame-00023.png
24,1.249999881,16919861.909136102,492970,frame-00024.png
25,1.299999833,16919861.982669100,487345,frame-00025.png
26,1.349999785,16919862.052212499,491462,frame-00026.png
27,1.399999738,16919862.125631500,494308,frame-00027.png
28,1.449999690,16919862.193078600,492259,frame-00028.png
29,1.499999642,16919862.274361700,493608,frame-00029.png
30,1.549999595,16919862.349863000,480197,frame-00030.png
31,1.599999547,16919862.428566001,500654,frame-00031.png
32,1.649999499,16919862.519292600,492461,frame-00032.png
33,1.699999452,16919862.601348300,487374,frame-00033.png
34,1.749999404,16919862.682190299,491054,frame-00034.png
35,1.799999356,16919862.758963600,493870,frame-00035.png
36,1.849999309,16919862.837767400,492260,frame-00036.png
37,1.899999261,16919862.915508699,493123,frame-00037.png
38,1.949999213,16919862.989476200,480217,frame-00038.png
39,1.999999166,16919863.067703102,500403,frame-00039.png
40,0.049999237,16919863.145431101,492024,frame-00040.png
