frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919863.359476399,496231,frame-00000.png
1,0.100000001,16919863.428959001,490323,frame-00001.png
2,0.150000006,16919863.495129500,493429,frame-00002.png
3,0.200000003,16919863.561779100,495379,frame-00003.png
4,0.250000000,16919863.628699400,493725,frame-00004.png
5,0.300000012,16919863.697403301,494659,frame-00005.png
6,0.350000024,16919863.764914501,482071,frame-00006.png
7,0.400000036,16919863.836540502,502699,frame-00007.png
8,0.450000048,16919863.906397901,495517,frame-00008.png
9,0.500000060,16919863.973472599,490078,frame-00009.png
10,0.550000072,16919864.041558601,493930,frame-00010.png
11,0.600000083,16919864.109519102,496966,frame-00011.png
12,0.650000095,16919864.177376300,495777,frame-00012.png
13,0.700000107,16919864.244979199,496857,frame-00013.png
14,0.750000119,16919864.309967000,483519,frame-00014.png
15,0.800000131,16919864.378129400,503910,frame-00015.png
16,0.850000143,16919864.444322500,496124,frame-00016.png
17,0.900000155,16919864.510276001,491039,frame-00017.png
18,0.950000167,16919864.577358902,494437,frame-00018.png
19,0.000000119,16919864.651664902,496984,frame-00019.png
20,0.050000120,16919864.718743999,494327,frame-00020.png
