frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919869.421483401,494785,frame-00000.png
1,0.100000001,16919869.490216501,493157,frame-00001.png
2,0.150000006,16919869.564629301,493271,frame-00002.png
3,0.200000003,16919869.636271499,480501,frame-00003.png
4,0.250000000,16919869.709933400,500393,frame-00004.png
5,0.300000012,16919869.776912101,492414,frame-00005.png
6,0.350000024,16919869.844157599,487702,frame-00006.png
7,0.400000036,16919869.912778899,491673,frame-00007.png
8,0.450000048,16919869.984136600,493247,frame-00008.png
9,0.500000060,16919870.056393500,491627,frame-00009.png
10,0.550000072,16919870.131347600,493014,frame-00010.png
11,0.600000083,16919870.202209700,479353,frame-00011.png
12,0.650000095,16919870.279122900,499909,frame-00012.png
13,0.700000107,16919870.354244500,491747,frame-00013.png
14,0.750000119,16919870.423738699,486698,frame-00014.png
15,0.800000131,16919870.492905200,490258,frame-00015.png
16,0.850000143,16919870.561871301,492191,frame-00016.png
17,0.900000155,16919870.632311501,490985,frame-00017.png
18,0.950000167,16919870.701079600,492159,frame-00018.png
19,1.000000119,16919870.767319798,479034,frame-00019.png
20,1.050000072,16919870.839067899,499956,frame-00020.png
21,1.100000024,16919870.908208299,491681,frame-00021.png
22,1.149999976,16919870.975713398,487254,frame-00022.png
23,1.199999928,16919871.043137901,490935,frame-00023.png
24,1.249999881,16919871.111837599,492675,frame-00024.png
25,1.299999833,16919871.180213999,491870,frame-00025.png
26,1.349999785,16919871.257988799,492622,frame-00026.png
27,1.399999738,16919871.334999401,479953,frame-00027.png
28,1.449999690,16919871.416269299,499992,frame-00028.png
29,1.499999642,16919871.495317701,492589,frame-00029.png
30,0.049999595,16919871.577842299,486936,frame-00030.png
