frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919993.128284801,475936,frame-00000.png
1,0.100000001,16919993.195199899,476619,frame-00001.png
2,0.150000006,16919993.262957402,464004,frame-00002.png
3,0.200000003,16919993.330430001,482022,frame-00003.png
4,0.250000000,16919993.400360800,474352,frame-00004.png
5,0.300000012,16919993.476196401,471245,frame-00005.png
6,0.350000024,16919993.547015902,476728,frame-00006.png
7,0.400000036,16919993.616407499,479327,frame-00007.png
8,0.450000048,16919993.689920500,477512,frame-00008.png
9,0.500000060,16919993.759168800,477601,frame-00009.png
10,0.550000072,16919993.837800302,463603,frame-00010.png
11,0.600000083,16919993.913583402,483806,frame-00011.png
12,0.000000119,16919993.991988100,476030,frame-00012.png
13,0.050000120,16919994.070589501,468357,frame-00013.png
