frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919991.960558999,477761,frame-00000.png
1,0.100000001,16919992.034199201,464693,frame-00001.png
2,0.150000006,16919992.106604300,482634,frame-00002.png
3,0.200000003,16919992.177173201,475875,frame-00003.png
4,0.250000000,16919992.251958601,469474,frame-00004.png
5,0.300000012,16919992.324458800,475302,frame-00005.png
6,0.350000024,16919992.398617301,479672,frame-00006.png
7,0.400000036,16919992.468982998,477797,frame-00007.png
8,0.450000048,16919992.537657000,478285,frame-00008.png
9,0.500000060,16919992.603785500,464292,frame-00009.png
10,0.550000072,16919992.669500500,482619,frame-00010.png
11,0.600000083,16919992.733900901,475673,frame-00011.png
12,0.650000095,16919992.799007501,469562,frame-00012.png
13,0.700000107,16919992.864062600,475102,frame-00013.png
14,0.000000119,16919992.936636299,477191,frame-00014.png
15,0.050000120,16919993.007770400,475921,frame-00015.png
