frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919994.908530701,471765,frame-00000.png
1,0.100000001,16919994.978714000,475726,frame-00001.png
2,0.150000006,16919995.051438998,477919,frame-00002.png
3,0.200000003,16919995.123371400,476578,frame-00003.png
4,0.250000000,16919995.189869098,477399,frame-00004.png
5,0.300000012,16919995.255920000,464041,frame-00005.png
6,0.350000024,16919995.324035000,484273,frame-00006.png
7,0.400000036,16919995.389424302,477741,frame-00007.png
8,0.450000048,16919995.454563301,473494,frame-00008.png
9,0.500000060,16919995.518762700,477663,frame-00009.png
10,0.550000072,16919995.596524101,481706,frame-00010.png
11,0.600000083,16919995.665260501,479446,frame-00011.png
12,0.650000095,16919995.734929599,478468,frame-00012.png
13,0.700000107,16919995.804127399,464227,frame-00013.png
14,0.750000119,16919995.881326400,483773,frame-00014.png
15,0.800000131,16919995.948637299,476051,frame-00015.png
16,0.850000143,16919996.023648702,469915,frame-00016.png
17,0.900000155,16919996.103771199,474017,frame-00017.png
18,0.950000167,16919996.182523299,478013,frame-00018.png
19,0.000000119,16919996.256485000,476770,frame-00019.png
20,0.050000120,16919996.336218100,478022,frame-00020.png
