frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919987.253081501,469041,frame-00000.png
1,0.100000001,16919987.319321800,473518,frame-00001.png
2,0.150000006,16919987.387853101,475917,frame-00002.png
3,0.200000003,16919987.460994702,473373,frame-00003.png
4,0.250000000,16919987.531568602,474946,frame-00004.png
5,0.300000012,16919987.606107902,460979,frame-00005.png
6,0.350000024,16919987.679211199,481494,frame-00006.png
7,0.400000036,16919987.751075801,473615,frame-00007.png
8,0.450000048,16919987.817531802,467428,frame-00008.png
9,0.500000060,16919987.885002799,472414,frame-00009.png
10,0.550000072,16919987.957924899,475499,frame-00010.png
11,0.600000083,16919988.028197300,472851,frame-00011.png
12,0.650000095,16919988.101123899,474390,frame-00012.png
13,0.700000107,16919988.174149100,461033,frame-00013.png
14,0.750000119,16919988.244637702,481021,frame-00014.png
15,0.800000131,16919988.315915398,472833,frame-00015.png
16,0.850000143,16919988.383730501,467281,frame-00016.png
17,0.900000155,16919988.453412000,472430,frame-00017.png
18,0.950000167,16919988.535333298,475393,frame-00018.png
19,1.000000119,16919988.619756501,473362,frame-00019.png
20,1.050000072,16919988.696376499,474409,frame-00020.png
21,1.100000024,16919988.781786900,460858,frame-00021.png
22,1.149999976,16919988.873199798,480728,frame-00022.png
23,1.199999928,16919988.961148899,473171,frame-00023.png
24,1.249999881,16919989.061534699,466937,frame-00024.png
25,1.299999833,16919989.154496200,472033,frame-00025.png
26,1.349999785,16919989.241241898,475100,frame-00026.png
27,1.399999738,16919989.320720501,473094,frame-00027.png
28,1.449999690,16919989.397355098,473857,frame-00028.png
29,1.499999642,16919989.481269300,460614,frame-00029.png
30,1.549999595,16919989.566629499,480534,frame-00030.png
31,1.599999547,16919989.646014601,472557,frame-00031.png
32,1.649999499,16919989.720639601,466423,frame-00032.png
33,1.699999452,16919989.797888201,471926,frame-00033.png
34,1.749999404,16919989.872451399,474599,frame-00034.png
35,1.799999356,16919989.944300398,472445,frame-00035.png
36,1.849999309,16919990.012853298,473819,frame-00036.png
37,1.899999261,16919990.077291898,460323,frame-00037.png
38,1.949999213,16919990.143705800,480661,frame-00038.png
39,1.999999166,16919990.210457701,472935,frame-00039.png
40,0.049999237,16919990.278695300,466547,frame-00040.png
