frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919990.404945102,469422,frame-00000.png
1,0.100000001,16919990.476536401,475031,frame-00001.png
2,0.150000006,16919990.550039198,476398,frame-00002.png
3,0.200000003,16919990.616205100,475435,frame-00003.png
4,0.250000000,16919990.688453201,475856,frame-00004.png
5,0.300000012,16919990.754658699,462452,frame-00005.png
6,0.350000024,16919990.825855900,482252,frame-00006.png
7,0.400000036,16919990.894582801,474658,frame-00007.png
8,0.450000048,16919990.963485502,468842,frame-00008.png
9,0.500000060,16919991.034654301,473982,frame-00009.png
10,0.550000072,16919991.102337599,476382,frame-00010.png
11,0.600000083,16919991.168829601,475614,frame-00011.png
12,0.650000095,16919991.234855302,476012,frame-00012.png
13,0.700000107,16919991.300102599,463766,frame-00013.png
14,0.750000119,16919991.369398199,483364,frame-00014.png
15,0.800000131,16919991.438166901,475260,frame-00015.png
16,0.850000143,16919991.502490800,469473,frame-00016.png
17,0.900000155,16919991.574132599,474488,frame-00017.png
18,0.950000167,16919991.642303500,476285,frame-00018.png
19,0.000000119,16919991.711896099,474587,frame-00019.png
20,0.050000120,16919991.784245700,475693,frame-00020.png
