frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919996.501321699,475599,frame-00000.png
1,0.100000001,16919996.573203798,462412,frame-00001.png
2,0.150000006,16919996.639434401,481122,frame-00002.png
3,0.200000003,16919996.703849901,473267,frame-00003.png
4,0.250000000,16919996.773868099,467713,frame-00004.png
5,0.300000012,16919996.841617499,473088,frame-00005.png
6,0.350000024,16919996.910532199,475566,frame-00006.png
7,0.400000036,16919996.981045399,473566,frame-00007.png
8,0.450000048,16919997.059775598,474818,frame-00008.png
9,0.500000060,16919997.130636200,461479,frame-00009.png
10,0.550000072,16919997.208114300,480145,frame-00010.png
11,0.600000083,16919997.286505200,472666,frame-00011.png
12,0.650000095,16919997.364657901,467006,frame-00012.png
13,0.700000107,16919997.440767400,470752,frame-00013.png
14,0.750000119,16919997.517645199,474603,frame-00014.png
15,0.800000131,16919997.595550001,471972,frame-00015.png
16,0.850000143,16919997.668172698,473371,frame-00016.png
17,0.900000155,16919997.743697200,460205,frame-00017.png
18,0.950000167,16919997.819282401,479505,frame-00018.png
19,1.000000119,16919997.891559001,471861,frame-00019.png
20,1.050000072,16919997.962042600,466476,frame-00020.png
21,1.100000024,16919998.042167701,471255,frame-00021.png
22,1.149999976,16919998.119792599,474889,frame-00022.png
23,1.199999928,16919998.188553602,473038,frame-00023.png
24,1.249999881,16919998.261877298,474441,frame-00024.png
25,1.299999833,16919998.333147600,460997,frame-00025.png
26,1.349999785,16919998.418061402,480001,frame-00026.png
27,1.399999738,16919998.505118899,473473,frame-00027.png
28,1.449999690,16919998.591148600,468311,frame-00028.png
29,1.499999642,16919998.683908898,473431,frame-00029.png
30,0.049999595,16919998.766063299,475766,frame-00030.png
