frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920028.215139199,495405,frame-00000.png
1,0.100000001,16920028.281914201,492060,frame-00001.png
2,0.150000006,16920028.352272000,489003,frame-00002.png
3,0.200000003,16920028.424319100,492158,frame-00003.png
4,0.250000000,16920028.496458400,493173,frame-00004.png
5,0.300000012,16920028.573893700,492231,frame-00005.png
6,0.350000024,16920028.643312398,493873,frame-00006.png
7,0.400000036,16920028.715159599,480542,frame-00007.png
8,0.450000048,16920028.784497801,499115,frame-00008.png
9,0.500000060,16920028.854477402,491239,frame-00009.png
10,0.550000072,16920028.921429001,488082,frame-00010.png
11,0.600000083,16920029.000326000,489459,frame-00011.png
12,0.000000119,16920029.081350900,490610,frame-00012.png
13,0.050000120,16920029.165655900,490997,frame-00013.png
