frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920027.185466900,490096,frame-00000.png
1,0.100000001,16920027.253727701,492352,frame-00001.png
2,0.150000006,16920027.328002099,492121,frame-00002.png
3,0.200000003,16920027.396362402,492816,frame-00003.png
4,0.250000000,16920027.462996699,478289,frame-00004.png
5,0.300000012,16920027.539508902,497584,frame-00005.png
6,0.350000024,16920027.611550599,489164,frame-00006.png
7,0.400000036,16920027.683349099,485227,frame-00007.png
8,0.450000048,16920027.751180500,489276,frame-00008.png
9,0.500000060,16920027.820235699,491019,frame-00009.png
10,0.550000072,16920027.890298098,489219,frame-00010.png
11,0.600000083,16920027.958161999,491554,frame-00011.png
12,0.000000119,16920028.026289500,476210,frame-00012.png
13,0.050000120,16920028.095850300,496099,frame-00013.png
