frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920029.993534900,490778,frame-00000.png
1,0.100000001,16920030.072244599,492842,frame-00001.png
2,0.150000006,16920030.149917100,478624,frame-00002.png
3,0.200000003,16920030.221722402,498080,frame-00003.png
4,0.250000000,16920030.299302101,491473,frame-00004.png
5,0.300000012,16920030.369722001,489817,frame-00005.png
6,0.350000024,16920030.443739600,493629,frame-00006.png
7,0.400000036,16920030.514508098,496098,frame-00007.png
8,0.450000048,16920030.586293600,495839,frame-00008.png
9,0.500000060,16920030.657419201,500032,frame-00009.png
10,0.550000072,16920030.722873900,484831,frame-00010.png
11,0.600000083,16920030.797003001,501887,frame-00011.png
12,0.650000095,16920030.871506602,492796,frame-00012.png
13,0.700000107,16920030.940712702,489137,frame-00013.png
14,0.750000119,16920031.007672299,491172,frame-00014.png
15,0.800000131,16920031.075661801,492532,frame-00015.png
16,0.850000143,16920031.139605101,490349,frame-00016.png
17,0.900000155,16920031.226915199,492741,frame-00017.png
18,0.950000167,16920031.305228502,477371,frame-00018.png
19,0.000000119,16920031.390417501,492833,frame-00019.png
20,0.050000120,16920031.463491701,489155,frame-00020.png
