frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920022.307035901,474934,frame-00000.png
1,0.100000001,16920022.384943001,495634,frame-00001.png
2,0.150000006,16920022.456149802,486843,frame-00002.png
3,0.200000003,16920022.534189198,483465,frame-00003.png
4,0.250000000,16920022.613266200,486156,frame-00004.png
5,0.300000012,16920022.701877899,488813,frame-00005.png
6,0.350000024,16920022.795946699,486629,frame-00006.png
7,0.400000036,16920022.875525299,489096,frame-00007.png
8,0.450000048,16920022.953661501,472849,frame-00008.png
9,0.500000060,16920023.029341999,494743,frame-00009.png
10,0.550000072,16920023.100074101,486476,frame-00010.png
11,0.600000083,16920023.169183400,483687,frame-00011.png
12,0.650000095,16920023.240317300,486221,frame-00012.png
13,0.700000107,16920023.313470598,489018,frame-00013.png
14,0.750000119,16920023.382182200,486975,frame-00014.png
15,0.800000131,16920023.455597900,489843,frame-00015.png
16,0.850000143,16920023.524568200,473921,frame-00016.png
17,0.900000155,16920023.597168501,495364,frame-00017.png
18,0.950000167,16920023.666039798,486556,frame-00018.png
19,1.000000119,16920023.734873801,483271,frame-00019.png
20,1.050000072,16920023.811514601,485992,frame-00020.png
21,1.100000024,16920023.898877200,488232,frame-00021.png
22,1.149999976,16920023.969835501,486959,frame-00022.png
23,1.199999928,16920024.048048198,489598,frame-00023.png
24,1.249999881,16920024.129009500,473271,frame-00024.png
25,1.299999833,16920024.223085199,495272,frame-00025.png
26,1.349999785,16920024.326114900,485933,frame-00026.png
27,1.399999738,16920024.421152201,483029,frame-00027.png
28,1.449999690,16920024.514345199,485596,frame-00028.png
29,1.499999642,16920024.598695900,488468,frame-00029.png
30,1.549999595,16920024.684457801,486253,frame-00030.png
31,1.599999547,16920024.769277301,489229,frame-00031.png
32,1.649999499,16920024.852907099,473141,frame-00032.png
33,1.699999452,16920024.934521500,494945,frame-00033.png
34,1.749999404,16920025.017688200,485824,frame-00034.png
35,1.799999356,16920025.097772300,482549,frame-00035.png
36,1.849999309,16920025.171064999,485906,frame-00036.png
37,1.899999261,16920025.241742600,487839,frame-00037.png
38,1.949999213,16920025.314122900,485932,frame-00038.png
39,1.999999166,16920025.383294798,489266,frame-00039.png
40,0.049999237,16920025.457914799,472831,frame-00040.png
