frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920025.578872502,474620,frame-00000.png
1,0.100000001,16920025.653662398,496711,frame-00001.png
2,0.150000006,16920025.724073801,488463,frame-00002.png
3,0.200000003,16920025.794198100,484477,frame-00003.png
4,0.250000000,16920025.866583601,488468,frame-00004.png
5,0.300000012,16920025.935335498,490268,frame-00005.png
6,0.350000024,16920026.005018800,488894,frame-00006.png
7,0.400000036,16920026.075742099,490293,frame-00007.png
8,0.450000048,16920026.149265200,475146,frame-00008.png
9,0.500000060,16920026.224592101,496007,frame-00009.png
10,0.550000072,16920026.295404900,487668,frame-00010.png
11,0.600000083,16920026.367322400,484629,frame-00011.png
12,0.650000095,16920026.437220000,488445,frame-00012.png
13,0.700000107,16920026.506688401,490817,frame-00013.png
14,0.750000119,16920026.574359700,488980,frame-00014.png
15,0.800000131,16920026.641429100,491339,frame-00015.png
16,0.850000143,16920026.707643200,475971,frame-00016.png
17,0.900000155,16920026.782748800,495524,frame-00017.png
18,0.950000167,16920026.850566499,487995,frame-00018.png
19,0.000000119,16920026.923133101,483789,frame-00019.png
20,0.050000120,16920027.008283999,487427,frame-00020.png
