frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920031.601877902,486794,frame-00000.png
1,0.100000001,16920031.667082600,483711,frame-00001.png
2,0.150000006,16920031.737854902,486570,frame-00002.png
3,0.200000003,16920031.809790298,488824,frame-00003.png
4,0.250000000,16920031.884514701,486935,frame-00004.png
5,0.300000012,16920031.954519600,489214,frame-00005.png
6,0.350000024,16920032.030100599,472854,frame-00006.png
7,0.400000036,16920032.098024599,493875,frame-00007.png
8,0.450000048,16920032.166520402,485401,frame-00008.png
9,0.500000060,16920032.235322099,482150,frame-00009.png
10,0.550000072,16920032.307114601,484700,frame-00010.png
11,0.600000083,16920032.374844398,487453,frame-00011.png
12,0.650000095,16920032.439796999,484944,frame-00012.png
13,0.700000107,16920032.507098801,488478,frame-00013.png
14,0.750000119,16920032.572695799,471493,frame-00014.png
15,0.800000131,16920032.642517500,493496,frame-00015.png
16,0.850000143,16920032.710161801,484159,frame-00016.png
17,0.900000155,16920032.779153898,481218,frame-00017.png
18,0.950000167,16920032.850422900,484001,frame-00018.png
19,1.000000119,16920032.925939299,487281,frame-00019.png
20,1.050000072,16920032.996254601,484938,frame-00020.png
21,1.100000024,16920033.076636098,488144,frame-00021.png
22,1.149999976,16920033.165639602,472835,frame-00022.png
23,1.199999928,16920033.256949101,494127,frame-00023.png
24,1.249999881,16920033.352745298,485866,frame-00024.png
25,1.299999833,16920033.454854999,483025,frame-00025.png
26,1.349999785,16920033.538358301,486111,frame-00026.png
27,1.399999738,16920033.627616301,488964,frame-00027.png
28,1.449999690,16920033.714365501,487273,frame-00028.png
29,1.499999642,16920033.792180602,489934,frame-00029.png
30,0.049999595,16920033.874853700,474260,frame-00030.png
