frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919968.746274199,488537,frame-00000.png
1,0.100000001,16919968.816266201,486584,frame-00001.png
2,0.150000006,16919968.888607401,480958,frame-00002.png
3,0.200000003,16919968.957626801,462860,frame-00003.png
4,0.250000000,16919969.023382600,485554,frame-00004.png
5,0.300000012,16919969.095254499,477968,frame-00005.png
6,0.350000024,16919969.167606201,469629,frame-00006.png
7,0.400000036,16919969.238881700,476048,frame-00007.png
8,0.450000048,16919969.309380200,482837,frame-00008.png
9,0.500000060,16919969.376195099,484672,frame-00009.png
10,0.550000072,16919969.453014601,489502,frame-00010.png
11,0.600000083,16919969.528489299,478017,frame-00011.png
12,0.650000095,16919969.602495600,496962,frame-00012.png
13,0.700000107,16919969.675000802,490914,frame-00013.png
14,0.750000119,16919969.746623900,485821,frame-00014.png
15,0.800000131,16919969.827844001,489587,frame-00015.png
16,0.850000143,16919969.905552700,491749,frame-00016.png
17,0.000000179,16919969.981507301,489682,frame-00017.png
18,0.050000180,16919970.052515700,489733,frame-00018.png
