frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919963.168340798,484301,frame-00000.png
1,0.100000001,16919963.235785000,488309,frame-00001.png
2,0.150000006,16919963.308094099,490434,frame-00002.png
3,0.200000003,16919963.373601399,488636,frame-00003.png
4,0.250000000,16919963.441224199,489681,frame-00004.png
5,0.300000012,16919963.506161701,474128,frame-00005.png
6,0.350000024,16919963.575144298,495668,frame-00006.png
7,0.400000036,16919963.644654699,488501,frame-00007.png
8,0.450000048,16919963.715887699,482847,frame-00008.png
9,0.500000060,16919963.783606902,487947,frame-00009.png
10,0.550000072,16919963.853506401,490896,frame-00010.png
11,0.600000083,16919963.922047399,488456,frame-00011.png
12,0.650000095,16919963.990828700,490257,frame-00012.png
13,0.700000107,16919964.059848700,474724,frame-00013.png
14,0.750000119,16919964.128796302,495962,frame-00014.png
15,0.800000131,16919964.193631198,488665,frame-00015.png
16,0.850000143,16919964.258822400,483505,frame-00016.png
17,0.900000155,16919964.328519799,487633,frame-00017.png
18,0.950000167,16919964.394661002,490270,frame-00018.png
19,1.000000119,16919964.465227298,488684,frame-00019.png
20,1.050000072,16919964.531868100,489871,frame-00020.png
21,1.100000024,16919964.604321599,474622,frame-00021.png
22,1.149999976,16919964.675843898,495605,frame-00022.png
23,1.199999928,16919964.743857499,489047,frame-00023.png
24,1.249999881,16919964.812036298,483210,frame-00024.png
25,1.299999833,16919964.878294501,487737,frame-00025.png
26,1.349999785,16919964.945843499,490508,frame-00026.png
27,1.399999738,16919965.024740800,488520,frame-00027.png
28,1.449999690,16919965.105540000,489530,frame-00028.png
29,1.499999642,16919965.177119300,474784,frame-00029.png
30,1.549999595,16919965.246469300,495060,frame-00030.png
31,1.599999547,16919965.313671000,488705,frame-00031.png
32,1.649999499,16919965.385659300,482591,frame-00032.png
33,1.699999452,16919965.452853799,487276,frame-00033.png
34,1.749999404,16919965.523268599,490381,frame-00034.png
35,1.799999356,16919965.593492702,488198,frame-00035.png
36,1.849999309,16919965.666903298,489582,frame-00036.png
37,1.899999261,16919965.729898099,474535,frame-00037.png
38,1.949999213,16919965.797871999,495343,frame-00038.png
39,1.999999166,16919965.870640799,488440,frame-00039.png
40,0.049999237,16919965.939049199,482755,frame-00040.png
