frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919966.066448100,485493,frame-00000.png
1,0.100000001,16919966.135106001,490426,frame-00001.png
2,0.150000006,16919966.206616402,491690,frame-00002.png
3,0.200000003,16919966.278005101,490593,frame-00003.png
4,0.250000000,16919966.349039201,491413,frame-00004.png
5,0.300000012,16919966.419379000,476681,frame-00005.png
6,0.350000024,16919966.493668400,496397,frame-00006.png
7,0.400000036,16919966.566269901,489848,frame-00007.png
8,0.450000048,16919966.634312700,484984,frame-00008.png
9,0.500000060,16919966.702776201,489181,frame-00009.png
10,0.550000072,16919966.774039999,492110,frame-00010.png
11,0.600000083,16919966.841946602,491123,frame-00011.png
12,0.650000095,16919966.911284100,492200,frame-00012.png
13,0.700000107,16919966.978612099,479249,frame-00013.png
14,0.750000119,16919967.053609800,498664,frame-00014.png
15,0.800000131,16919967.126772001,491666,frame-00015.png
16,0.850000143,16919967.204918802,486064,frame-00016.png
17,0.900000155,16919967.285594299,490382,frame-00017.png
18,0.950000167,16919967.365940701,492794,frame-00018.png
19,0.000000119,16919967.447465301,490940,frame-00019.png
20,0.050000120,16919967.522169501,491330,frame-00020.png
