frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919972.481062900,485207,frame-00000.png
1,0.100000001,16919972.566874001,488116,frame-00001.png
2,0.150000006,16919972.645313200,486022,frame-00002.png
3,0.200000003,16919972.723280501,479571,frame-00003.png
4,0.250000000,16919972.793080200,485745,frame-00004.png
5,0.300000012,16919972.868998900,468266,frame-00005.png
6,0.350000024,16919972.948472802,489944,frame-00006.png
7,0.400000036,16919973.022986900,482053,frame-00007.png
8,0.450000048,16919973.098713201,477991,frame-00008.png
9,0.500000060,16919973.172697999,480588,frame-00009.png
10,0.550000072,16919973.244171198,482451,frame-00010.png
11,0.600000083,16919973.319612700,481199,frame-00011.png
12,0.650000095,16919973.396307200,481107,frame-00012.png
13,0.700000107,16919973.470702000,466194,frame-00013.png
14,0.750000119,16919973.549291499,488045,frame-00014.png
15,0.800000131,16919973.629402202,479066,frame-00015.png
16,0.850000143,16919973.705639400,473826,frame-00016.png
17,0.900000155,16919973.787620202,478788,frame-00017.png
18,0.950000167,16919973.874098599,481628,frame-00018.png
19,1.000000119,16919973.951790798,479872,frame-00019.png
20,1.050000072,16919974.030225798,480627,frame-00020.png
21,1.100000024,16919974.108043902,467198,frame-00021.png
22,1.149999976,16919974.188071501,489113,frame-00022.png
23,1.199999928,16919974.265543502,485038,frame-00023.png
24,1.249999881,16919974.344401401,479358,frame-00024.png
25,1.299999833,16919974.436139502,485857,frame-00025.png
26,1.349999785,16919974.528675601,484177,frame-00026.png
27,1.399999738,16919974.613078602,491393,frame-00027.png
28,1.449999690,16919974.698802400,493048,frame-00028.png
29,1.499999642,16919974.785750099,476291,frame-00029.png
30,0.049999595,16919974.862658400,497763,frame-00030.png
