frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919981.636067402,491255,frame-00000.png
1,0.100000001,16919981.712230299,477679,frame-00001.png
2,0.150000006,16919981.794049598,495361,frame-00002.png
3,0.200000003,16919981.867809601,488526,frame-00003.png
4,0.250000000,16919981.939658798,483290,frame-00004.png
5,0.300000012,16919982.015115201,489061,frame-00005.png
6,0.350000024,16919982.090045199,491815,frame-00006.png
7,0.400000036,16919982.163009800,490550,frame-00007.png
8,0.450000048,16919982.239426501,490783,frame-00008.png
9,0.000000060,16919982.308697000,476820,frame-00009.png
10,0.050000060,16919982.377009600,498457,frame-00010.png
