frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919979.690269802,491505,frame-00000.png
1,0.100000001,16919979.761774302,489100,frame-00001.png
2,0.150000006,16919979.830125201,491627,frame-00002.png
3,0.200000003,16919979.896675099,479391,frame-00003.png
4,0.250000000,16919979.966663599,496768,frame-00004.png
5,0.300000012,16919980.037066899,490790,frame-00005.png
6,0.350000024,16919980.104293700,484897,frame-00006.png
7,0.400000036,16919980.173935901,490433,frame-00007.png
8,0.450000048,16919980.238836698,491834,frame-00008.png
9,0.500000060,16919980.304575399,490445,frame-00009.png
10,0.550000072,16919980.378508300,490955,frame-00010.png
11,0.600000083,16919980.448741298,477676,frame-00011.png
12,0.650000095,16919980.519444600,497719,frame-00012.png
13,0.700000107,16919980.593727201,490605,frame-00013.png
14,0.750000119,16919980.661520500,483437,frame-00014.png
15,0.800000131,16919980.735053901,488637,frame-00015.png
16,0.850000143,16919980.802864201,489484,frame-00016.png
17,0.900000155,16919980.874423001,487741,frame-00017.png
18,0.950000167,16919980.941480901,488570,frame-00018.png
19,1.000000119,16919981.010278400,475890,frame-00019.png
20,1.050000072,16919981.077594899,497002,frame-00020.png
21,1.100000024,16919981.145406298,491238,frame-00021.png
22,1.149999976,16919981.211805400,485024,frame-00022.png
23,1.199999928,16919981.280059099,489621,frame-00023.png
24,1.249999881,16919981.353212401,491658,frame-00024.png
25,1.299999833,16919981.425692100,489411,frame-00025.png
26,0.049999833,16919981.494108200,490975,frame-00026.png
