frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919983.189966001,497344,frame-00000.png
1,0.100000001,16919983.264479101,491689,frame-00001.png
2,0.150000006,16919983.339975100,485344,frame-00002.png
3,0.200000003,16919983.417747900,491053,frame-00003.png
4,0.250000000,16919983.498781200,493317,frame-00004.png
5,0.300000012,16919983.574607998,492766,frame-00005.png
6,0.350000024,16919983.666104399,495893,frame-00006.png
7,0.400000036,16919983.750222001,485368,frame-00007.png
8,0.450000048,16919983.827554200,504779,frame-00008.png
9,0.500000060,16919983.911514800,495947,frame-00009.png
10,0.550000072,16919983.996171299,489644,frame-00010.png
11,0.600000083,16919984.084046800,492696,frame-00011.png
12,0.650000095,16919984.164429501,492934,frame-00012.png
13,0.700000107,16919984.243284799,489658,frame-00013.png
14,0.750000119,16919984.314969201,489886,frame-00014.png
15,0.800000131,16919984.382942799,477115,frame-00015.png
16,0.850000143,16919984.455733798,496349,frame-00016.png
17,0.900000155,16919984.525002401,488484,frame-00017.png
18,0.950000167,16919984.598014899,482817,frame-00018.png
19,0.000000119,16919984.671743002,489273,frame-00019.png
20,0.050000120,16919984.747570802,491869,frame-00020.png
