frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919975.023721300,498628,frame-00000.png
1,0.100000001,16919975.103193700,490144,frame-00001.png
2,0.150000006,16919975.185430501,483702,frame-00002.png
3,0.200000003,16919975.261610501,488112,frame-00003.png
4,0.250000000,16919975.348776601,491381,frame-00004.png
5,0.300000012,16919975.436416999,489156,frame-00005.png
6,0.350000024,16919975.518031601,490894,frame-00006.png
7,0.400000036,16919975.590319101,476096,frame-00007.png
8,0.450000048,16919975.661017802,498285,frame-00008.png
9,0.500000060,16919975.731747199,490195,frame-00009.png
10,0.550000072,16919975.800413098,483969,frame-00010.png
11,0.600000083,16919975.872877799,488014,frame-00011.png
12,0.650000095,16919975.939801499,491051,frame-00012.png
13,0.700000107,16919976.009021699,488896,frame-00013.png
14,0.750000119,16919976.086123802,489971,frame-00014.png
15,0.800000131,16919976.152161401,475616,frame-00015.png
16,0.850000143,16919976.221132800,497481,frame-00016.png
17,0.900000155,16919976.289143398,489937,frame-00017.png
18,0.950000167,16919976.351982102,483577,frame-00018.png
19,1.000000119,16919976.416287798,487973,frame-00019.png
20,1.050000072,16919976.483323898,491408,frame-00020.png
21,1.100000024,16919976.547570899,488609,frame-00021.png
22,1.149999976,16919976.614914302,490135,frame-00022.png
23,1.199999928,16919976.681946300,475824,frame-00023.png
24,1.249999881,16919976.752304301,497667,frame-00024.png
25,1.299999833,16919976.826853100,490024,frame-00025.png
26,1.349999785,16919976.910160400,483076,frame-00026.png
27,1.399999738,16919976.987935301,487865,frame-00027.png
28,1.449999690,16919977.061164301,490707,frame-00028.png
29,1.499999642,16919977.137158900,488528,frame-00029.png
30,1.549999595,16919977.219371699,489524,frame-00030.png
31,1.599999547,16919977.294530600,475009,frame-00031.png
32,1.649999499,16919977.374101900,497240,frame-00032.png
33,1.699999452,16919977.445712999,489962,frame-00033.png
34,1.749999404,16919977.511290099,482791,frame-00034.png
35,1.799999356,16919977.576606099,488116,frame-00035.png
36,1.849999309,16919977.643375099,490605,frame-00036.png
37,1.899999261,16919977.709841002,488405,frame-00037.png
38,1.949999213,16919977.775634300,489705,frame-00038.png
39,1.999999166,16919977.839772101,474836,frame-00039.png
40,0.049999237,16919977.907709401,496543,frame-00040.png
