frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919984.880043700,490363,frame-00000.png
1,0.100000001,16919984.951526601,490297,frame-00001.png
2,0.150000006,16919985.022774100,491689,frame-00002.png
3,0.200000003,16919985.090823300,477139,frame-00003.png
4,0.250000000,16919985.163437799,496965,frame-00004.png
5,0.300000012,16919985.235145099,488629,frame-00005.png
6,0.350000024,16919985.307541098,480340,frame-00006.png
7,0.400000036,16919985.397057801,484163,frame-00007.png
8,0.450000048,16919985.469512701,485434,frame-00008.png
9,0.500000060,16919985.539168201,483716,frame-00009.png
10,0.550000072,16919985.609738301,483916,frame-00010.png
11,0.600000083,16919985.676441900,468926,frame-00011.png
12,0.650000095,16919985.743553199,491656,frame-00012.png
13,0.700000107,16919985.810621101,483228,frame-00013.png
14,0.750000119,16919985.879490700,475967,frame-00014.png
15,0.800000131,16919985.950730901,481568,frame-00015.png
16,0.850000143,16919986.029415600,483863,frame-00016.png
17,0.900000155,16919986.112673201,481775,frame-00017.png
18,0.950000167,16919986.194053698,483793,frame-00018.png
19,1.000000119,16919986.272936501,469625,frame-00019.png
20,1.050000072,16919986.374902699,492353,frame-00020.png
21,1.100000024,16919986.455023900,485324,frame-00021.png
22,1.149999976,16919986.538277201,479882,frame-00022.png
23,1.199999928,16919986.616732899,486330,frame-00023.png
24,1.249999881,16919986.700255401,489916,frame-00024.png
25,1.299999833,16919986.784196202,489121,frame-00025.png
26,1.349999785,16919986.851813801,490954,frame-00026.png
27,1.399999738,16919986.918832898,476386,frame-00027.png
28,1.449999690,16919986.992992800,496861,frame-00028.png
29,1.499999642,16919987.061952200,489683,frame-00029.png
30,0.049999595,16919987.128519401,483268,frame-00030.png
